Intensity    Wavelength (Å)    Spectrum  Reference
  100   h      4213.72         Xe II     H39                 
  110          4213.863        Zr I      J98                 
   70          4214.445        Ru I      K59                 
   20          4214.73         Nb I      MCS75               
  110          4215.02         Gd II     MCS75               
  250   P      4215.159        Dy I      NG00                
  700   P      4215.52         Sr II     MCS75               
    6   P      4215.53         Rb I      RE80                
   30          4215.60         Xe II     H39                 
   40          4216.1836       Fe I      NJLT94              
   70          4217.20         Gd II     MCS75               
 1000   P,l    4217.23         Pa II     BW92b               
   80          4217.263        Ru I      K59                 
   15          4217.799        Y  I      P77                 
   60          4217.810        Pr II     G90                 
   25          4217.94         Nb I      MCS75               
  300   P      4218.092        Dy I      NG00                
  100          4218.425        Er I      M64b                
    8   d      4218.565        Yb II     M67                 
    8          4218.665        Ar II     N73                 
  150          4219.745        Ne II     P71                 
   90          4220.0651       Th I      PE83                
   30          4220.629        Y  I      P77                 
  200          4220.659        Sm II     K35                 
   30          4220.675        Ru I      K59                 
   12          4221.08         Re I      MCS75               
  300   P      4221.110        Dy I      NG00                
   30          4222.212        Dy I      NG00                
   30          4222.29         Ho I      MCS75               
  110          4222.3677       U  I      PKE80               
  400          4222.598        Ce II     C73                 
    8          4222.637        Ar II     N73                 
   40          4222.671        Tm I      SMC73               
  700   P      4222.931        Pr II     G90                 
  250          4222.97         K  II     D26                 
  100   h      4223.00         Xe II     H39                 
   30          4223.47         Ho I      MCS75               
 1000          4223.89         Br II     K40                 
   70          4225.03         Gd I      MCS75               
  150   P      4225.154        Dy I      NG00                
  250          4225.328        Sm II     K35                 
  700   P      4225.346        Pr II     G90                 
               4225.655        Fr I      ABDJ90              
  250          4225.67         K  II     D26                 
 1000   P      4225.85         Gd I      MCS75               
 1000   P      4226.727        Ca I      R68                 
    8          4226.988        Ar II     N73                 
  200   P      4227.13         Ho I      MZH78               
   90          4227.3872       Th I      PE83                
   70   c      4227.46         Re I      MCS75               
  200          4227.747        Ce II     C73                 
  600   P      4227.750        Zr I      J98                 
   30          4228.158        Ar II     N73                 
   25          4229.15         Nb I      MCS75               
   25          4229.52         Ho II     MCS75               
  200          4229.704        Sm II     K35                 
   50          4230.309        Ru I      K59                 
    7          4231.972        Yb I      MT78                
   40          4232.024        Dy I      NG00                
   20          4232.20         Cs II     S81                 
  250          4232.38         Nd II     MCS75               
   30          4232.458        V  I      DA78                
   50          4232.589        Mo I      WB88                
   60          4233.114        Pr II     G90                 
  100          4233.850        Ne II     P71                 
   10          4234.41         Cs II     S81                 
   14          4235.154        Mn I      CMG64               
   20          4235.300        Mn I      CMG64               
  140          4235.4636       Th I      PE83                
  200          4235.929        Y  I      P77                 
   60          4236.056        Zr I      J98                 
   60   c      4236.153        Pr II     G90                 
  300          4236.745        Sm II     K35                 
   30          4237.220        Ar II     N73                 
   15          4238.053        Sc I      AV77                
  500   P,c    4238.19         Tc I      BMC67               
  130   h      4238.25         Xe II     H39                 
  200          4238.38         La II     MCS75               
   70          4238.78         Gd II     MCS75               
  600   P      4239.309        Zr I      J98                 
   40          4239.856        Dy I      NG00                
  300          4239.909        Ce II     C73                 
  200          4240.335        Zr I      J98                 
  200          4241.010        Pr II     G90                 
   70          4241.058        Ru I      K59                 
  200          4241.197        Zr I      J98                 
  200   P      4241.6646       U  II     PKE80               
  300          4241.683        Zr I      J98                 
   20          4241.78         N  II     M75a                
  300   P      4242.15         Tm II     MCS75               
 1000          4242.38         Cf I      RCWM80              
   70          4243.058        Ru I      K59                 
   70          4243.507        Pr II     G90                 
   30          4243.78         Ho I      MCS75               
   60          4244.36         W  I      MCS75               
 1000   P      4244.40         Rb II     R75                 
  100   P,c    4244.92         Pb II     WRSH74              
  150   h      4245.38         Xe II     H39                 
   30          4245.912        Dy I      NG00                
  200          4246.227        F  II     P69                 
  200          4246.385        F  II     P69                 
  200          4246.590        F  II     P69                 
   30          4246.736        Ru I      K59                 
  150          4246.774        F  II     P69                 
  500   P      4246.820        Sc II     JL80                
  150          4246.844        F  II     P69                 
  400   P      4247.38         Nd II     MCS75               
  150   c      4247.631        Pr II     G90                 
 1000   P,s    4248.083        Pa II     G67                 
  300          4248.668        Ce II     C73                 
